公司代码,公司简称,发函日期,函件类别,函件内容,公司回复
2514.0,宝馨科技,2023-3-24,年报问询函,LSD002514178022.pdf,
2022.0,*ST 科华,2023-3-24,年报问询函,LSD002022178014.pdf,
12.0,南  玻Ａ,2023-3-23,关注函,LSD000012178002.pdf,
796.0,ST凯撒,2023-3-22,关注函,LSD000796177959.pdf,
2795.0,永和智控,2023-3-21,关注函,LSD002795177986.pdf,
2329.0,皇氏集团,2023-3-21,关注函,LSD002329177990.pdf,
2792.0,通宇通讯,2023-3-21,关注函,LSD002792177980.pdf,LSD002792177980103597HF.pdf
2976.0,瑞玛精密,2023-3-21,并购重组问询函,LSD002976177984.pdf,
2803.0,吉宏股份,2023-3-21,关注函,LSD002803177964.pdf,LSD002803177964103595HF.pdf
592.0,平潭发展,2023-3-20,关注函,LSD000592177966.pdf,
1255.0,博菲电气,2023-3-20,关注函,LSD001255177936.pdf,LSD001255177936103594HF.pdf
2656.0,ST摩登,2023-3-16,关注函,LSD002656177931.pdf,LSD002656177931103592HF.pdf
622.0,恒立实业,2023-3-16,关注函,LSD000622177935.pdf,
38.0,*ST大通,2023-3-16,关注函,LSD000038177842.pdf,
2628.0,成都路桥,2023-3-15,关注函,LSD002628177918.pdf,
3020.0,立方制药,2023-3-14,并购重组问询函,LSD003020177871.pdf,LSD003020177871103593HF.pdf
695.0,滨海能源,2023-3-13,并购重组问询函,LSD000695177886.pdf,LSD000695177886103589HF.pdf
2289.0,宇顺电子,2023-3-13,关注函,LSD002289177878.pdf,LSD002289177878103598HF.pdf
931.0,中 关 村,2023-3-8,关注函,LSD000931177833.pdf,LSD000931177833103587HF.pdf
421.0,南京公用,2023-3-7,关注函,LSD000421177813.pdf,LSD000421177813103588HF.pdf
972.0,ST中基,2023-3-2,年报问询函,LSD000972177655.pdf,
2362.0,汉王科技,2023-3-2,关注函,LSD002362177739.pdf,LSD002362177739103584HF.pdf
2072.0,凯瑞德,2023-3-2,年报问询函,LSD002072177687.pdf,LSD002072177687103585HF.pdf
616.0,ST海投,2023-3-2,关注函,LSD000616177716.pdf,
7.0,全新好,2023-2-27,关注函,LSD000007177641.pdf,LSD000007177641103596HF.pdf
1979.0,招商蛇口,2023-2-27,许可类重组问询函,LSD001979177673.pdf,LSD001979177673103582HF.pdf
2150.0,通润装备,2023-2-23,非许可类重组问询函,LSD002150177582.pdf,LSD002150177582103586HF.pdf
685.0,中山公用,2023-2-20,关注函,LSD000685177573.pdf,LSD000685177573103583HF.pdf
2499.0,*ST科林,2023-2-19,关注函,LSD002499177580.pdf,
2506.0,协鑫集成,2023-2-17,关注函,LSD002506177553.pdf,LSD002506177553103567HF.pdf
2256.0,兆新股份,2023-2-17,关注函,LSD002256177501.pdf,LSD002256177501103574HF.pdf
886.0,海南高速,2023-2-17,关注函,LSD000886177383.pdf,LSD000886177383103573HF.pdf
2388.0,新亚制程,2023-2-16,关注函,LSD002388177548.pdf,LSD002388177548103572HF.pdf
977.0,浪潮信息,2023-2-15,关注函,LSD000977177546.pdf,LSD000977177546103566HF.pdf
1228.0,永泰运,2023-2-15,关注函,LSD001228177527.pdf,LSD001228177527103580HF.pdf
2792.0,通宇通讯,2023-2-15,关注函,LSD002792177532.pdf,LSD002792177532103563HF.pdf
2882.0,金龙羽,2023-2-14,关注函,LSD002882177528.pdf,LSD002882177528103568HF.pdf
2089.0,*ST新海,2023-2-14,关注函,LSD002089177534.pdf,LSD002089177534103561HF.pdf
2733.0,雄韬股份,2023-2-14,关注函,LSD002733177513.pdf,LSD002733177513103576HF.pdf
656.0,金科股份,2023-2-10,关注函,LSD000656177445.pdf,LSD000656177445103591HF.pdf
2021.0,ST中捷,2023-2-10,关注函,LSD002021177456.pdf,
558.0,莱茵体育,2023-2-10,关注函,LSD000558177398.pdf,LSD000558177398103565HF.pdf
155.0,川能动力,2023-2-10,许可类重组问询函,LSD000155177466.pdf,LSD000155177466103578HF.pdf
2570.0,贝因美,2023-2-9,关注函,LSD002570177483.pdf,LSD002570177483103562HF.pdf
31.0,大悦城,2023-2-9,关注函,LSD000031177285.pdf,LSD000031177285103554HF.pdf
620.0,新华联,2023-2-9,关注函,LSD000620177349.pdf,LSD000620177349103553HF.pdf
2309.0,ST中利,2023-2-9,关注函,LSD002309177469.pdf,LSD002309177469103556HF.pdf
2229.0,鸿博股份,2023-2-9,关注函,LSD002229177460.pdf,LSD002229177460103533HF.pdf
69.0,华侨城Ａ,2023-2-9,关注函,LSD000069177374.pdf,LSD000069177374103551HF.pdf
2325.0,洪涛股份,2023-2-9,关注函,LSD002325177454.pdf,LSD002325177454103552HF.pdf
488.0,晨鸣纸业,2023-2-8,许可类重组问询函,LSD000488177455.pdf,LSD000488177455103557HF.pdf
931.0,中 关 村,2023-2-8,关注函,LSD000931177438.pdf,LSD000931177438103536HF.pdf
2362.0,汉王科技,2023-2-7,关注函,LSD002362177412.pdf,LSD002362177412103534HF.pdf
56.0,皇庭国际,2023-2-7,关注函,LSD000056177424.pdf,LSD000056177424103540HF.pdf
918.0,嘉凯城,2023-2-7,关注函,LSD000918177340.pdf,LSD000918177340103569HF.pdf
2574.0,明牌珠宝,2023-2-6,关注函,LSD002574177405.pdf,LSD002574177405103581HF.pdf
671.0,阳 光 城,2023-2-6,关注函,LSD000671177279.pdf,LSD000671177279103570HF.pdf
2504.0,ST弘高,2023-2-3,关注函,LSD002504177368.pdf,LSD002504177368103558HF.pdf
2781.0,*ST奇信,2023-2-3,关注函,LSD002781177344.pdf,LSD002781177344103590HF.pdf
2411.0,*ST必康,2023-2-3,关注函,LSD002411177393.pdf,LSD002411177393103531HF.pdf
2642.0,荣联科技,2023-2-3,关注函,LSD002642177378.pdf,LSD002642177378103532HF.pdf
150.0,*ST宜康,2023-2-3,关注函,LSD000150177391.pdf,LSD000150177391103555HF.pdf
732.0,ST泰禾,2023-2-3,关注函,LSD000732177372.pdf,LSD000732177372103547HF.pdf
