,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
278,002032.SZ,20220104,62.22,63.3,61.27,61.49,62.24,-0.75,-1.205,16398.57,101676.352
277,002032.SZ,20220105,61.61,64.4,61,62.45,61.49,0.96,1.5612,47988.37,300373.529
276,002032.SZ,20220106,62,62.36,59.8,60.18,62.45,-2.27,-3.6349,27614.04,167145.039
275,002032.SZ,20220107,60.2,63.25,60.18,61.83,60.18,1.65,2.7418,24095.42,149822.89
274,002032.SZ,20220110,61.63,62.79,60.68,61.35,61.83,-0.48,-0.7763,16595.84,102003.19
273,002032.SZ,20220111,61.36,61.95,58.8,58.85,61.35,-2.5,-4.075,22651.57,135445.86
272,002032.SZ,20220112,58.68,59.1,57.51,58.12,58.85,-0.73,-1.2404,27106.65,157511.351
271,002032.SZ,20220113,58.12,58.12,55.72,56.66,58.12,-1.46,-2.512,27989.18,158897.012
270,002032.SZ,20220114,56.1,57.35,55.4,56.45,56.66,-0.21,-0.3706,28143.78,158568.063
269,002032.SZ,20220117,56.13,56.13,53.61,55.61,56.45,-0.84,-1.488,53641.27,293846.105
268,002032.SZ,20220118,55.8,56.24,55.01,55.71,55.61,0.1,0.1798,25204.89,140197.334
267,002032.SZ,20220119,55.22,56.2,55.05,55.73,55.71,0.02,0.0359,17332.2,96332.534
266,002032.SZ,20220120,56.29,57.89,55.36,57.26,55.73,1.53,2.7454,30512.93,173949.96
265,002032.SZ,20220121,57.03,57.22,54.8,55.66,57.26,-1.6,-2.7943,26271.32,146589.154
264,002032.SZ,20220124,55.31,55.95,54.5,55.41,55.66,-0.25,-0.4492,18431.99,101987.41
263,002032.SZ,20220125,55.45,55.53,53.06,53.25,55.41,-2.16,-3.8982,29770.03,161326.934
262,002032.SZ,20220126,53.25,56.48,53.01,54.52,53.25,1.27,2.385,39318.66,214446.03
261,002032.SZ,20220127,54.3,54.76,53,53.9,54.52,-0.62,-1.1372,18667.87,100564.71
260,002032.SZ,20220128,53.22,53.75,51.6,51.7,53.9,-2.2,-4.0816,26734.69,140676.525
259,002032.SZ,20220207,52.27,53.93,51.63,53.36,51.7,1.66,3.2108,34692.86,183090.297
258,002032.SZ,20220208,53.36,54.3,52.15,54,53.36,0.64,1.1994,28535.91,152484.296
